;Date;DAX;DlogDAX;y1;y2;y3
279;2001-02-08;6636,81;0,875474823;-0,695934844;0,484325307;0,484325307
280;2001-02-09;6497,07;-2,128012032;-1,536750094;2,361600852;2,361600852
281;2001-02-12;6564,91;1,038749255;1,028534509;1,057883237;0
282;2001-02-13;6557,93;-0,106379422;-0,87551785;0,766531506;0,766531506
283;2001-02-14;6479,87;-1,197455594;-0,273337973;0,074713648;0,074713648
284;2001-02-15;6591,67;1,710628224;0,696166925;0,484648388;0
285;2001-02-16;6439,26;-2,339310399;-1,930638061;3,727363321;3,727363321
286;2001-02-20;6451,57;0,190988536;-1,823905179;3,326630102;3,326630102
287;2001-02-21;6347,99;-1,618528468;-2,177925945;4,743361422;4,743361422
288;2001-02-22;6277,99;-1,108836181;-0,477075514;0,227601046;0,227601046
289;2001-02-23;6075,34;-3,281191082;-0,664550961;0,441627979;0,441627979
290;2001-02-26;6189,07;1,854687834;1,57718723;2,487519558;0
291;2001-02-27;6220,48;0,506224111;-0,753353287;0,567541175;0,567541175
292;2001-02-28;6208,24;-0,196963226;-1,499500729;2,248502435;2,248502435
293;2001-03-01;6123,38;-1,376321028;-0,083925924;0,007043561;0,007043561
294;2001-03-02;6159,02;0,580344233;-0,687033869;0,472015538;0,472015538
295;2001-03-05;6216,38;0,927006978;0,602939585;0,363536144;0
296;2001-03-06;6284,06;1,082852465;0,957054965;0,915954206;0
297;2001-03-07;6305,64;0,34282026;0,679261094;0,461395634;0
298;2001-03-08;6267,06;-0,613712585;0,3247137;0,105438987;0
299;2001-03-09;6204,42;-1,004540387;-2,492542181;6,212766523;6,212766523
300;2001-03-12;6046,56;-2,577242599;-4,596180491;21,12487511;21,12487511
301;2001-03-13;5962,93;-1,392754428;0,990880069;0,981843311;0
302;2001-03-14;5794,12;-2,87183608;-2,747316882;7,54775005;7,54775005
303;2001-03-15;5889,95;1,640389845;0,452254562;0,204534189;0
304;2001-03-16;5734,49;-2,674868967;-2,214674687;4,904783967;4,904783967
305;2001-03-19;5657,29;-1,355384002;1,41131786;1,991818102;0
306;2001-03-20;5782,16;2,183233633;-2,364103386;5,588984818;5,588984818
307;2001-03-21;5622,09;-2,80738344;-2,034792224;4,140379396;4,140379396
308;2001-03-22;5388,02;-4,25255104;-0,689518897;0,475436309;0,475436309
309;2001-03-23;5544,67;2,865913546;1,7284136;2,987413572;0
310;2001-03-26;5726,97;3,23494891;1,31828028;1,737862897;0
311;2001-03-27;5938,21;3,622114611;2,610422494;6,814305598;0
312;2001-03-28;5817,52;-2,053368707;-2,296567048;5,274220205;5,274220205
313;2001-03-29;5879,3;1,056365311;-0,550828321;0,303411839;0,303411839
314;2001-03-30;5829,95;-0,842928321;0,958259211;0,918260715;0
315;2001-04-02;5760,76;-1,193901355;-1,161560289;1,349222304;1,349222304
316;2001-04-03;5553,46;-3,664825351;-3,445075347;11,86854415;11,86854415
317;2001-04-04;5597,66;0,792749634;-0,774248353;0,599460513;0,599460513
318;2001-04-05;5773,34;3,090211593;4,00819128;16,06559734;0
319;2001-04-06;5698,88;-1,298110489;-1,656973269;2,745560416;2,745560416
320;2001-04-09;5781,01;1,43087436;0,825216739;0,680982666;0
321;2001-04-10;5913,84;2,271695871;2,448175112;5,993561379;0
322;2001-04-11;5951,16;0,629079192;0,022931265;0,000525843;0
323;2001-04-12;6002,3;0,855657057;1,809431043;3,274040698;0
324;2001-04-16;6002,3;0;-0,318223516;0,101266206;0,101266206
325;2001-04-17;5935,58;-1,117798046;1,103939221;1,218681803;0
326;2001-04-18;6164,88;3,790392306;3,979601898;15,83723127;0
327;2001-04-19;6181,91;0,27586135;1,592897959;2,537323907;0
328;2001-04-20;6127,97;-0,876374834;-0,48286907;0,233162538;0,233162538
329;2001-04-23;6051,48;-1,256066664;-1,536283294;2,36016636;2,36016636
330;2001-04-24;6124,57;1,200567966;-1,369228259;1,874786025;1,874786025
331;2001-04-25;6115,19;-0,153271009;1,542541653;2,379434752;0
332;2001-04-26;6123,66;0,138411719;0,563043586;0,317018079;0
333;2001-04-27;6175,24;0,838779117;1,567472929;2,456971384;0
334;2001-04-30;6264,51;1,435262484;-0,220124385;0,048454745;0,048454745
335;2001-05-01;6264,51;0;1,34457067;1,807870286;0
336;2001-05-02;6213,84;-0,812131067;0,223709937;0,050046136;0
337;2001-05-03;6089,17;-2,026727889;-1,408409823;1,983618231;1,983618231
338;2001-05-04;6138,28;0,803278919;1,364665144;1,862310955;0
339;2001-05-07;6122,62;-0,255446313;-0,24567782;0,060357591;0,060357591
340;2001-05-08;6108,72;-0,227285089;-0,075921401;0,005764059;0,005764059
341;2001-05-09;6063,94;-0,735750477;-0,49226408;0,242323924;0,242323924
342;2001-05-10;6165,18;1,655757944;-0,157995341;0,024962528;0,024962528
343;2001-05-11;6141,02;-0,392648113;-0,743411084;0,552660039;0,552660039
344;2001-05-14;6064,68;-1,250907288;0,169692052;0,028795393;0
345;2001-05-15;6070,38;0,093942682;-0,006523323;4,25537E-05;4,25537E-05
346;2001-05-16;6148,44;1,277718503;2,788217627;7,774157533;0
347;2001-05-17;6173,81;0,411776029;0,485412612;0,235625404;0
348;2001-05-18;6186,87;0,211315314;0,407136718;0,165760307;0
349;2001-05-21;6249,87;1,0131359;1,635322389;2,674279317;0
350;2001-05-22;6270,59;0,330978557;-0,131308457;0,017241911;0,017241911
351;2001-05-23;6215,25;-0,886449969;-1,385772918;1,92036658;1,92036658
352;2001-05-24;6278,9;1,018885649;0,171377067;0,029370099;0
353;2001-05-25;6223,57;-0,885110882;-1,259794093;1,587081157;1,587081157
354;2001-05-29;6120,33;-1,672768045;-0,807115136;0,651434842;0,651434842
355;2001-05-30;6041,22;-1,301003833;-1,739877267;3,027172906;3,027172906
356;2001-05-31;6123,26;1,348865613;0,358661025;0,128637731;0
357;2001-06-01;6125,17;0,031187671;0,340090233;0,115661367;0
358;2001-06-04;6177,74;0,854599765;0,509134883;0,259218329;0
359;2001-06-05;6242,13;1,03689615;1,304331747;1,701281306;0
360;2001-06-06;6192,44;-0,79922771;-1,010488621;1,021087253;1,021087253
361;2001-06-07;6184,25;-0,132345582;0,544417449;0,296390359;0
362;2001-06-08;6187,21;0,047852073;-0,962127819;0,92568994;0,92568994
363;2001-06-11;6162,74;-0,396277427;-0,878210536;0,771253746;0,771253746
364;2001-06-12;6059,15;-1,695195763;0,0319593;0,001021397;0
365;2001-06-13;6111,94;0,867470885;-1,243994612;1,547522594;1,547522594
366;2001-06-14;6031,27;-1,32866329;-1,844572809;3,40244885;3,40244885
367;2001-06-15;5915,18;-1,943567409;-0,721705405;0,520858691;0,520858691
368;2001-06-18;5869,04;-0,783085105;-0,683785913;0,467563174;0,467563174
369;2001-06-19;5922,53;0,907264544;0,264772266;0,070104353;0
370;2001-06-20;5876,04;-0,788065683;0,799871465;0,63979436;0
371;2001-06-21;5926,38;0,853050565;1,127437021;1,271114236;0
372;2001-06-22;5941,77;0,259349749;-0,842410329;0,709655162;0,709655162
373;2001-06-25;5902,32;-0,666157483;-0,600894872;0,361074647;0,361074647
374;2001-06-26;5847,79;-0,928168187;-0,253750721;0,064389428;0,064389428
